"","Time","Cell_Type","Measurement","variable","value"
"181",6,"speE/VC","Activity","D",1297.14
"182",7.25,"speE/VC","Activity","D",1415.71
"183",8.5,"speE/VC","Activity","D",1507.25
"184",9.75,"speE/VC","Activity","D",1534.6
"185",0.5,"speE/VC","OD","D",0.06
"186",2,"speE/VC","OD","D",0.21
"187",3.5,"speE/VC","OD","D",0.61
"188",4.75,"speE/VC","OD","D",1.03
"189",6,"speE/VC","OD","D",1.5
"190",7.25,"speE/VC","OD","D",1.85
"191",8.5,"speE/VC","OD","D",2.27
"192",9.75,"speE/VC","OD","D",2.48
"193",0.5,"speE/pSpeG","Activity","E",57.03
"194",2,"speE/pSpeG","Activity","E",458.13
"195",3.5,"speE/pSpeG","Activity","E",912.52
"196",4.75,"speE/pSpeG","Activity","E",960.51
"197",6,"speE/pSpeG","Activity","E",1091.38
"198",7.25,"speE/pSpeG","Activity","E",1032.26
"199",8.5,"speE/pSpeG","Activity","E",1072.21
"200",9.75,"speE/pSpeG","Activity","E",1198.48
"201",0.5,"speE/pSpeG","OD","E",0.05
"202",2,"speE/pSpeG","OD","E",0.14
"203",3.5,"speE/pSpeG","OD","E",0.41
"204",4.75,"speE/pSpeG","OD","E",0.73
"205",6,"speE/pSpeG","OD","E",1.05
"206",7.25,"speE/pSpeG","OD","E",1.46
"207",8.5,"speE/pSpeG","OD","E",1.89
"208",9.75,"speE/pSpeG","OD","E",2.17
"209",0.5,"speE/pSpeG(Y135A)","Activity","E",85.99
"210",2,"speE/pSpeG(Y135A)","Activity","E",1244.53
"211",3.5,"speE/pSpeG(Y135A)","Activity","E",1987.27
"212",4.75,"speE/pSpeG(Y135A)","Activity","E",1773.55
"213",6,"speE/pSpeG(Y135A)","Activity","E",1439.03
"214",7.25,"speE/pSpeG(Y135A)","Activity","E",1454.51
"215",8.5,"speE/pSpeG(Y135A)","Activity","E",1587.42
"216",9.75,"speE/pSpeG(Y135A)","Activity","E",1448.21
"217",0.5,"speE/pSpeG(Y135A)","OD","E",0.07
"218",2,"speE/pSpeG(Y135A)","OD","E",0.24
"219",3.5,"speE/pSpeG(Y135A)","OD","E",0.66
"220",4.75,"speE/pSpeG(Y135A)","OD","E",1.03
"221",6,"speE/pSpeG(Y135A)","OD","E",1.67
"222",7.25,"speE/pSpeG(Y135A)","OD","E",2.1
"223",8.5,"speE/pSpeG(Y135A)","OD","E",2.46
"224",9.75,"speE/pSpeG(Y135A)","OD","E",2.68
"225",0.5,"speE/VC","Activity","E",-190.59
"226",2,"speE/VC","Activity","E",458.26
"227",3.5,"speE/VC","Activity","E",1104.97
"228",4.75,"speE/VC","Activity","E",1370.63
"229",6,"speE/VC","Activity","E",816.64
"230",7.25,"speE/VC","Activity","E",924.86
"231",8.5,"speE/VC","Activity","E",1246.32
"232",9.75,"speE/VC","Activity","E",1432.6
"233",0.5,"speE/VC","OD","E",0.06
"234",2,"speE/VC","OD","E",0.19
"235",3.5,"speE/VC","OD","E",0.66
"236",4.75,"speE/VC","OD","E",1
"237",6,"speE/VC","OD","E",1.6
"238",7.25,"speE/VC","OD","E",1.98
"239",8.5,"speE/VC","OD","E",2.33
"240",9.75,"speE/VC","OD","E",2.52
